Author_ID	FName	Minit	LName
393	Lewis	C	Gardner
394	Mary	H	Clark
395	Mark	NULL	Twain
396	Rebecca	NULL	Wells
397	Mary	C	Erdoes
398	Sebastian	NULL	Junger
399	Linda	NULL	Gordon
400	Florence	NULL	King
401	Alice	NULL	Sebold
402	Spalding	NULL	Gray
403	Thomas	NULL	Harris
404	Edward	NULL	Rutherfurd
405	Margaret	NULL	Atwood
406	Dorothy	NULL	Allison
407	Margaret	NULL	Atwood
408	Maya	NULL	Angelou
409	Edith	NULL	Wharton
410	Mary	B	Bird
411	John	G	Jr.
412	Roland	NULL	Warren
413	Johnny	NULL	Molloy
414	James	M	Koestenbaum
415	Elizabeth	NULL	Wurtzel
416	Bill	NULL	Bradley
417	Don	M	Ruiz
418	Paul	NULL	Lester
419	Leo	NULL	Tolstoy
420	Simon	NULL	Nye
421	Robert	A	Johnson
422	Marc	NULL	Gascoigne
423	Stephanie	NULL	Maze
424	Sandra	NULL	Dallas
425	Piers	NULL	Anthony
426	Piers	NULL	Anthony
427	Anne	NULL	McCaffrey
428	David	NULL	Gemmell
429	Laura	NULL	Zigman
430	John	NULL	Grisham
431	Margaret	NULL	Truman
432	Mark	C	Young
433	Paula	D	Ross
434	Richard	A	Coville
435	Carrie	A	Bebris
436	Ellen	C	Dubois
437	Candice	F	Ransom
438	Sam	B	Sloan
439	Anna,	A	Sewell
440	Charles	D	Leighton
441	Donna	K	Stanfield
442	Mary	W	Clif
443	Nathaniel	NULL	Hawthorne
444	Anne	NULL	McCaffrey
445	Robert	NULL	Westall
446	Valerie	NULL	Block
447	Luanne	NULL	Rice
448	Alice	NULL	Sebold
449	T.	C	Boyle
450	Ellen	NULL	Gilchrist
451	John	NULL	Irving
452	Tim	NULL	Gautreaux
453	Richard	NULL	Russo
454	Margaret	NULL	Atwood
455	Jostein	NULL	Gaarder
456	Anna	NULL	Quindlen
457	Diane	NULL	Johnson
458	Dean	NULL	Koontz
459	Wally	NULL	Lamb
460	Adeline	Y	Mah
461	Barbara	NULL	Ehrenreich
462	Dorothy	NULL	Dunnett
463	John	NULL	LeCarre
464	Singer	M	Corporation
465	Olivia	NULL	Goldsmith
466	Emily	NULL	Dickinson
467	Hazel	NULL	Harrison
468	Joseph	NULL	Girzone
469	Joseph	F	Girzone
470	Lorraine	NULL	Anderson
471	Tim	L	Jenkins
472	Ad	NULL	Hudler
473	Josephine	NULL	Carlton
474	Ted	L	Seinfeld
475	Francis	NULL	Wheen
476	Stephen	NULL	King
477	Ellen	R	Rimbauer
478	Sidney	NULL	Sheldon
479	Christopher	M	Johnson
480	Mary	H	Clark
481	Robert	NULL	Lacey
482	Tim	NULL	Dorsey
483	Jodi	NULL	Compton
484	Elmore	NULL	Leonard
485	Elmore	NULL	Leonard
486	Lynn	NULL	Coady
487	John	NULL	Lawton
488	Eileen	Y	Lo
489	Tilden	NULL	Edwards
490	Barbara	NULL	Kingsolver
491	Barbara	NULL	Kingsolver
492	Vikram	NULL	Seth
493	Isabel	NULL	Allende
494	Tony	NULL	Hillerman
495	Elizabeth	G	Watson
496	Anita	NULL	Diamant
497	Lauren	NULL	Haney
498	Gerald	NULL	Stern
499	Lilian	J	Braun
500	Patricia	NULL	Cornwell
501	Maeve	NULL	Binchy
502	Martha	NULL	Grimes
503	Henry	NULL	James
504	Sarah	O	Jewett
505	William	C	Williams
506	Rh	V	Publishing
507	Edith	NULL	Wharton
508	Harry	NULL	Kemelman
509	Mil	NULL	Millington
510	Suzanne	G	McLean
511	Czeslaw	NULL	Milosz
512	Margaret	NULL	Guenther
513	Roberto	J	Crow
514	Hans	K	Winkelman
515	Emma	M	Kraus
516	Paul	NULL	Jennings
517	Mark	E	Jr.
518	Stephen	J	Stermitz
519	Larry	NULL	Katzenstein
520	David	NULL	Steinman
521	Alfie	NULL	Kohn
522	Paula	P	Lillard
523	David	NULL	Lewis
524	Billie	NULL	Livingston
525	Adele	NULL	Lang
526	Jen	NULL	Banbury
527	Patricia	D	Cornwell
528	Catherine	NULL	Coulter
529	Dominick	NULL	Dunne
530	Clive	NULL	Cussler
531	Mary	H	Clark
532	John	NULL	Pascal
533	Carl	H	Stevenson
534	Jonathan	S	Foer
535	Yann	NULL	Martel
536	Francesca	NULL	Marciano
537	Julia	NULL	Glass
538	Tawni	NULL	O'Dell
539	Jennifer	NULL	Weiner
540	Danielle	NULL	Steel
541	Leon	NULL	Hale
542	Russell	NULL	Banks
543	Samuel	T	Coleridge
544	BRADLEY	P	Warshauer
545	Bobbie	A	Mason
546	Nora	NULL	Roberts
547	Karen	NULL	Robards
548	Emma	NULL	Lathen
549	Dean	NULL	Koontz
550	Faye	NULL	Kellerman
551	Jacquelyn	NULL	Mitchard
552	Nora	NULL	Roberts
553	Jane	NULL	Smiley
554	Diane	M	Davidson
555	Candace	NULL	Bushnell
556	Nora	NULL	Roberts
557	Kristin	NULL	Hannah
558	Michael	NULL	Marshall
559	Allen	NULL	Widome
560	John	NULL	Grisham
561	John	NULL	Grisham
562	Wilbur	NULL	Smith
563	Mike	T	Lee
564	John	NULL	Grisham
565	Michael	NULL	Slade
566	John	S	Camp
567	Tami	NULL	Hoag
568	Tami	NULL	Hoag
569	Mary	H	Clark
570	Ted	NULL	Dekker
571	Angela	NULL	Hunt
572	Ted	NULL	Dekker
573	C.	S	Lewis
574	C.	S	Lewis
575	Will	NULL	Eisner
576	Robin	NULL	Cook
577	Ann	NULL	Rule
578	E.	L	Harris
579	Linda	NULL	Goodman
580	Anne	NULL	Rice
581	Anne	NULL	Rice
582	Judith	NULL	Rossner
583	Marilyn	NULL	French
584	Wayne	W	Dyer
585	Armistead	NULL	Maupin
586	Julie	NULL	Morgenstern
587	Peter	NULL	Straub
588	James	M	Harrison
589	Danielle	NULL	Steel
590	Barbara	T	Bradford
591	Lisa	NULL	Jackson
592	Sharyn	NULL	McCrumb
593	Kay	NULL	Hooper
594	Mary	H	Clark
595	Cokie	NULL	Roberts
596	Shana	C	Teague
597	Jesse	S	Shaw
598	Justine	K	P
599	Patricia	R	Giff
600	Beverly	NULL	Cleary
601	K.A.	NULL	Applegate
602	Jane	Y	Teague
603	Golden	NULL	Books
604	Marvin	NULL	Miller
605	Craig	NULL	Boldman
606	H.	G	Deal
607	Bobbie	NULL	Kalman
608	Mercedes	NULL	Lackey
609	Mercedes	NULL	Lackey
610	Dorothy	NULL	Gilman
611	MoveOn.org	NULL	MoveOn.org
612	Mercedes	NULL	Lackey
613	Christopher	NULL	Finch
614	Charles	NULL	Frazier
615	Julia	NULL	Spencer-Fleming
616	Julia	NULL	Spencer-Fleming
617	Fannie	NULL	Flagg
618	Laura	I	Wilder
619	Frank	M	Fontana
620	Lisa	NULL	Gardner
621	Beverly	C	Dockray
622	Gertrude	C	Warner
623	Julia	NULL	Spencer-Fleming
624	Philip	NULL	Pullman
625	Philip	NULL	Pullman
626	Philip	NULL	Pullman
627	Lynn	S	Hightower
628	Sharyn	NULL	McCrumb
629	Sharyn	NULL	McCrumb
630	Dorothy	NULL	Gilman
631	Eric	NULL	Schlosser
632	Suzanne	NULL	Brockmann
633	Gail	C	Levine
634	Gail	C	Levine
635	Frances	NULL	Kuffel
636	Susan	NULL	Conant
637	David	NULL	Schickler
638	Maeve	NULL	Binchy
639	Judith	NULL	McNaught
640	Ray	NULL	Bradbury
641	JANET	NULL	EVANOVICH
642	Sylvia	NULL	Plath
643	Ilona	NULL	Koidahl
644	Richard	N	Patterson
645	Fern	NULL	Michaels
646	Fern	NULL	Michaels
647	Betsy	NULL	Byars
648	Bruce	NULL	Sterling
649	James	NULL	Patterson
650	Sarah	B	Breathnach
651	Alice	NULL	Hoffman
652	Lisa	NULL	Scottoline
653	Spencer	J	Blanchard
654	Ian	NULL	McEwan
655	David	F	Schwan
656	Richard	NULL	Bausch
657	Katie	NULL	Fforde
658	James	NULL	Burke
659	Bliss	NULL	Broyard
660	Sara	NULL	Paretsky
661	Charles	NULL	Webb
662	Elizabeth	NULL	Benedict
663	Stanley	M	P
664	Henry	NULL	Miller
665	David	NULL	Whyte
666	Thomas	C	Spreitze
667	Martha	NULL	Beck
668	Desmond	NULL	Tutu
669	Clayborne	C	Young
670	Jack	K	Charters
671	Martin	B	Kaufmann
672	Niccolò	M	Thompson
673	Paul	NULL	Monette
674	Ernest	NULL	Hemingway
675	Melody	NULL	Carlson
676	Alisa	NULL	Kwitney
677	Billie	NULL	Letts
678	Melissa	NULL	Bank
679	Rena	K	Macadam
680	Moon	U	Zappa
681	Ted	NULL	Mooney
682	Susan	NULL	Wiggs
683	Gwyn	H	Rubio
684	Elisabeth	NULL	Robinson
685	Audrey	NULL	Niffenegger
686	Anita	NULL	Shreve
687	Tim	NULL	Farrington
688	Mark	NULL	Salzman
689	Chaim	NULL	Potok
690	Scott	NULL	Spencer
691	Chaim	NULL	Potok
692	Chaim	NULL	Potok
693	V.	S	Naipaul
694	V.	S	Naipaul
695	Jean	G	Marina-Médiavilla
696	Alain-Fournier,Daniel	NULL	Leuwers
697	Erich	M	Bournac
698	Roy	NULL	Lewis
699	René	NULL	Barjavel
700	Alexandra	D	David-Néel
701	Charles	B	Florenn
702	Ray	B	Robillot
703	Radiguet	NULL	Radiguet
704	Emile	Z	Mitterand
705	Jean	G	Glasauer
706	Louis	NULL	Pergaud
707	Collectif	NULL	Collectif
708	Robert	A	Heinlein
709	Sten	NULL	Nadolny
710	Cheryl	B	Schlaffer
711	Christa	NULL	Wichterich
712	John	NULL	Blofeld
713	Christine	NULL	Obbo
714	Christa	NULL	Wichterich
715	Peter	B	Heim
716	Jane	NULL	Austen
717	Hera	NULL	Lind
718	Arundhati	R	Grube
719	Dan	NULL	Brown
720	Nicholas	NULL	Sparks
721	Jane	NULL	Hamilton
722	Jack	NULL	Higgins
723	Helen	NULL	Fielding
724	A.	M	Ansay
725	Anita	NULL	Shreve
726	Max	A	Collins
727	Dave	NULL	Barry
728	David	NULL	Guterson
729	John	NULL	Grisham
730	Bernhard	S	Janeway
731	Eric	J	Dickey
732	Kristin	NULL	Hannah
733	Patricia	NULL	Gaffney
734	Mary	H	Clark
735	Barbara	NULL	Delinsky
736	Richard	P	Evans
737	Marc	NULL	Levy
738	Laney	K	Becker
739	John	NULL	Irving
740	Vladimir	NULL	Nabokov
741	Nicholas	NULL	Sparks
742	Jennifer	NULL	Lauck
743	Richard	N	Patterson
744	Joe	NULL	Keenan
745	Jeanne	NULL	Ray
746	Nicholas	NULL	Sparks
747	Nicholas	NULL	Sparks
748	Tony	NULL	Parsons
749	Jane	NULL	McCafferty
750	Laura	E	Thomas
751	J.R.R.	NULL	Tolkien
752	Venise	NULL	Berry
753	Sebastian	NULL	Junger
754	Nora	NULL	Roberts
755	Jan	NULL	Karon
756	Cormac	NULL	McCarthy
757	James	NULL	Patterson
758	Mary	H	Clark
759	James	P	Gross
760	Richard	P	Evans
761	Travis	NULL	Thrasher
762	John	M	Kaplan
763	Barbara	NULL	Delinsky
764	Eric	J	Dickey
765	Sally	NULL	Mandel
766	Linda	L	Shuler
767	Paul	NULL	Theroux
768	Dick	NULL	Francis
769	Janet	NULL	Dailey
770	Claude	L	Beauvoir
771	Lemony	S	Helquist
772	Matthew	NULL	Thomas
773	Boris	V	Arnaud
774	Gabriel	G	Couffon
775	Luis	NULL	Sepulveda
776	Hubert	NULL	Selby
777	Jacob	NULL	Weisberg
778	David	NULL	Lodge
779	Lily	NULL	Seafield
780	Philip	NULL	Ardagh
781	Iain	NULL	Banks
782	Jacob	NULL	Weisberg
783	David	NULL	Crombie
784	John	NULL	Steinbeck
785	Michael	NULL	O'Mara
786	Richard	NULL	Brassey
787	William	V	Hamme
788	R.	W	Holder
789	From	T	Southwater
790	Bernard	NULL	Werber
791	Andy	NULL	Sloss
792	Allan	Z	Kronzek
793	Charles	L	Squire
794	Gordon	NULL	Jarvie
795	Philip	NULL	Ardagh
796	Boris	NULL	Vian
797	Alan	NULL	Spence
798	Helene	S	Gillingham
799	A	A	Milne
800	A.	A	Milne
801	Eric	NULL	Thompson
802	Elizabeth	NULL	Strout
803	Russell	NULL	Banks
804	David	NULL	Sedaris
805	Leslie	NULL	Feinberg
806	Neil	NULL	Gaiman
807	Chris	A	Wolfe
808	Lauren	NULL	Sanders
809	Gael	NULL	Baudino
810	Lauren	NULL	Maddison
811	Carol	NULL	Anshaw
812	Jean	NULL	Stewart
813	Emma	NULL	Donoghue
814	Deborah	E	McDowell
815	Karen	X	Tulchinsky
816	Dorothy	NULL	Allison
817	Jill	NULL	Thompson
818	Jody	NULL	Seay
819	Manda	NULL	Scott
820	Manda	NULL	Scott
821	Dean	NULL	Koontz
822	Jeff	NULL	Foxworthy
823	Terry	NULL	Brooks
824	A.C.	NULL	Crispin
825	A.C.	NULL	Crispin
826	A.C.	NULL	Crispin
827	Madelyn	NULL	Arnold
828	Tamora	NULL	Pierce
829	Carolyn	NULL	Chute
830	Sara	NULL	Orwig
831	Dean	NULL	Koontz
832	Melisa	NULL	Michaels
833	Isobel	NULL	Bird
834	Frederik	P	Kornbluth
835	Vonda	NULL	McIntyre
836	John	NULL	Varley
837	Nancy	NULL	Garden
838	Christopher	NULL	Rice
839	Nicola	NULL	Griffith
840	Jane	NULL	Lindskold
841	Julie	NULL	Campbell
842	Nancy	NULL	Garden
843	Lee	NULL	Smith
844	Jacqueline	NULL	Woodson
845	Jacqueline	NULL	Woodson
846	Pat	NULL	Summitt
847	Richard	NULL	Belzer
848	Thomas	NULL	Harris
849	Nick	NULL	Hornby
850	Douglas	NULL	Adams
851	Colleen	NULL	McCullough
852	Stephen	NULL	King
853	Robert	B	Parker
854	Andrew	L	Johnson
855	Marian	NULL	Babson
856	Kathleen	O	Gear
857	Dean	NULL	Koontz
858	Paul	NULL	Phifer
859	Peter	NULL	Hoeg
860	Erma	NULL	Bombeck
861	John	NULL	Mortimer
862	E.L.	NULL	Doctorow
863	Simon	NULL	Schama
864	Frank	NULL	Waters
865	Karen	NULL	Hesse
866	Kenneth	O	Schindler
867	Carol	R	Mantel
868	K.	A	Applegate
869	C.	S	Baynes
870	C.	S	Baynes
871	Shelly	NULL	Roberts
872	Diane	NULL	Duane
873	Diane	NULL	Duane
874	Diane	NULL	Duane
875	Carolee	NULL	Brockman
876	Rachel	NULL	Roberts
877	Shelley	R	Roberts
878	Rachel	NULL	Roberts
879	Rachel	NULL	Roberts
880	Rachel	NULL	Roberts
881	Lensey	NULL	Namioka
882	Jackie	E	Behrend
883	Andrew	C	Selznick
884	Douglas	NULL	Adams
885	Lois	NULL	Lowry
886	Brother	Y	Hattaway
887	Katherine	NULL	Khodorowsky
888	Milena	NULL	Moser
889	Patricia	NULL	Highsmith
890	Ken	F	Straßl
891	Ken	F	Lohmeyer,Gabriele
892	Stephen	R	Donaldson
893	Stephen	R	Donaldson
894	Bernhard	NULL	Schlink
895	Stephen	NULL	King
896	Ellen	R	King
897	Todd	H	Gilman
898	John	NULL	Borneman
899	Robert	S	McElvaine
900	Bram	NULL	Stoker
901	Michael	A	Stackpole
902	Douglas	NULL	Adams
903	Langston	NULL	Hughes
904	Anne	NULL	Perry
905	Carol	NULL	Matthews
906	Carole	NULL	Matthews
907	Jacqueline	L	Wah
908	Marion	Z	Bradley
909	Andrei	NULL	Codrescu
910	Carolyne	NULL	Aarsen
911	Louis	NULL	L'Amour
912	Jack	NULL	Chapman
913	Anthony	J	Alessandra
914	Charles	R	Swindoll
915	Tom	NULL	Clancy
916	Orson	S	Card
917	V.	A	Barton
918	Tom	C	Pieczenik
919	John	NULL	Grisham
920	Walter	P	Wilson
921	Bruce	F	Fries
922	Rush	NULL	Limbaugh
923	John	NULL	Grisham
924	Anne	NULL	Dingus
925	Kate	NULL	Chopin
926	Kirk	K	Kazanjian
927	Donald	M	Allen
928	Tom	NULL	Clancy
929	William	R	Browning
930	Carl	NULL	Hausman
931	Richard	NULL	Peck
932	Michael	NULL	Connelly
933	Judith	NULL	McNaught
934	Lilian	J	Braun
935	John	NULL	Lescroart
936	John	NULL	Jakes
937	Alice	NULL	McDermott
938	Hilary	NULL	Bailey
939	Howard	NULL	Fast
940	Jessica	F	Bain
941	Belva	NULL	Plain
942	Margaret	NULL	Truman
943	Richard	N	Patterson
944	Eileen	NULL	Goudge
945	Danielle	NULL	Steel
946	Arnette	NULL	Lamb
947	Catherine	NULL	Coulter
948	Piers	A	Jacob
949	Anne	R	Schulte
950	Walter	NULL	Cronkite
